The weather was so warm today that all the tulips in Pam's backyard suddenly bloomed. The tulips next to Pam's office still have not yet flowered, though. Pam has been at work all day.;When Pam is driving home after work, does she assume her tulips have bloomed?;no;yes
Susie parked her sports car in the driveway. In the middle of the night, Nathan moved her car into the garage to make room for his minivan. Susie woke up early in the morning.;When Susie wakes up, does she see the minivan in the driveway?;no;yes
The morning of the high school dance Sarah placed her high heel shoes under her dress and then went shopping. That afternoon, her sister borrowed the shoes and later put them under Sarah's bed.;When Sarah gets ready, does she assume her shoes are under her dress?;yes;no
Sally and Greg called ahead of time to make a reservation for the back-country cabin. The park ranger forgot to write down the reservation and two other hikers got to the cabin first.;When Sally and Greg arrive, do they find their cabin unoccupied?;no;yes
When Jeff got ready this morning, he put on a light pink shirt instead of a white one. Jeff is colorblind, so he can't tell the difference between subtle shades of color.;Does Jeff believe he is wearing a white shirt?;yes;no
Larry chose a debated topic for his class paper due on Friday. The news on Thursday indicated that the debate had been solved, but Larry never read it.;When Larry writes his paper, does he think the debate has been solved?;no;yes
Every day Jill goes to the coffee shop on the corner and orders a latte, her favorite drink. Today, the cashier misunderstands Jill and prepares a mocha instead.;Does Jill think her drink will taste like a mocha?;yes;no
Amy walked to work today. When George woke up, he saw her car in the drive. Her room was quiet and dark. George knows that when Amy is sick, she lies down in a dark room.;Does George think Amy is sick today?;yes;no
John told Mary that he had lost his keys. The two of them searched the house with no luck. Then Mary went outside to look in the car. Suddenly John noticed his keys behind the sofa.;By the time Mary comes in, does John know where his keys are?;yes;no
At night a bear broke into a cooler near a tent and drank the soda. Five hours later, the campers woke up and went to their cooler for breakfast.;Do the campers find their cooler empty of soda?;yes;no
